gameID,leagueID,season,date,homeTeamID,awayTeamID,homeGoals,awayGoals,homeProbability,drawProbability,awayProbability,homeGoalsHalfTime,awayGoalsHalfTime
193,1,2015,2015-11-07 19:00:00,89,76,2,0,5.652,3.248,0.11,0,0
194,1,2015,2015-11-07 19:00:00,79,84,1,0,6.144,2.848,1.008,0,0
195,1,2015,2015-11-07 19:00:00,81,72,1,1,1.745,3.264,4.991,1,1
196,1,2015,2015-11-07 19:00:00,77,74,0,1,343,1.484,8.173,0,0
197,1,2015,2015-11-07 21:30:00,85,80,1,0,2.791,3.323,3.886,0,0
198,1,2015,2015-11-08 17:30:00,71,88,0,0,255,168,8.065,0,0
199,1,2015,2015-11-08 20:00:00,83,82,1,1,6.761,1.989,125,0,1
200,1,2015,2015-11-08 20:00:00,87,78,1,2,7.015,1.917,1.068,1,1
201,1,2015,2015-11-21 16:45:00,90,89,1,2,4.077,2.975,2.948,0,1
202,1,2015,2015-11-21 19:00:00,84,73,2,2,4.528,2.667,2.805,2,2
203,1,2015,2015-11-21 19:00:00,74,85,0,1,2.046,3.092,4.862,0,1
204,1,2015,2015-11-21 19:00:00,76,83,2,1,257,1.089,8.654,2,1
205,1,2015,2015-11-21 19:00:00,86,75,0,3,47,279,9.674,0,1
206,1,2015,2015-11-21 19:00:00,72,71,4,0,9.355,534,111,3,0
207,1,2015,2015-11-21 19:00:00,80,79,1,0,8.702,1.111,187,0,0
208,1,2015,2015-11-21 21:30:00,88,87,1,4,916,1.649,7.435,1,3
209,1,2015,2015-11-22 20:00:00,82,81,4,1,8.979,791,23,2,0
210,1,2015,2015-11-24 00:00:00,78,77,0,1,1.696,283,5.474,0,0
211,1,2015,2015-11-28 19:00:00,77,85,2,0,3.156,367,3.174,0,0
212,1,2015,2015-11-28 19:00:00,71,90,2,3,3.732,2.821,3.447,1,1
213,1,2015,2015-11-28 19:00:00,73,72,3,3,6.317,2.298,1.385,0,2
214,1,2015,2015-11-28 19:00:00,78,86,5,1,5.981,2.543,1.476,3,1
215,1,2015,2015-11-28 19:00:00,88,74,3,1,6.125,2.333,1.542,2,0
216,1,2015,2015-11-28 21:30:00,75,89,1,1,2.717,3.525,3.758,1,1
217,1,2015,2015-11-29 16:00:00,82,80,0,0,2.151,5.885,1.964,0,0
218,1,2015,2015-11-29 18:05:00,81,76,1,1,4.799,3.079,2.122,1,0
219,1,2015,2015-11-29 20:15:00,87,84,1,0,6.697,2.541,762,0,0
220,1,2015,2015-11-29 20:15:00,79,83,1,1,1.807,2.772,5.421,1,1
221,1,2015,2015-12-05 16:45:00,85,88,2,0,8.008,1.534,458,2,0
222,1,2015,2015-12-05 19:00:00,84,75,0,3,979,1.674,7.347,0,2
223,1,2015,2015-12-05 19:00:00,90,79,2,0,8.662,1.112,226,1,0
224,1,2015,2015-12-05 19:00:00,76,82,1,1,4.505,317,2.325,1,1
225,1,2015,2015-12-05 19:00:00,83,77,3,1,5.667,2.329,2.004,1,1
226,1,2015,2015-12-05 19:00:00,89,81,0,0,5.319,2.566,2.115,0,0
227,1,2015,2015-12-05 19:00:00,74,71,1,1,7.861,143,709,0,1
228,1,2015,2015-12-05 21:30:00,80,73,0,1,4.674,2.706,262,0,0
229,1,2015,2015-12-06 20:00:00,86,87,2,0,1.975,3.505,452,0,0
230,1,2015,2015-12-08 00:00:00,72,78,1,1,5.012,2.789,2.199,0,0
231,1,2015,2015-12-12 16:45:00,79,72,1,1,164,2.323,6.037,0,1
232,1,2015,2015-12-12 19:00:00,88,84,2,1,4.645,2.816,2.539,1,0
233,1,2015,2015-12-12 19:00:00,77,90,0,1,1.156,2.107,6.737,0,1
234,1,2015,2015-12-12 19:00:00,78,74,1,0,4.797,2.971,2.232,1,0
235,1,2015,2015-12-12 19:00:00,81,85,0,0,1.888,2.353,5.759,0,0
236,1,2015,2015-12-12 21:30:00,73,89,2,1,1.405,2.388,6.207,1,1
237,1,2015,2015-12-13 17:30:00,71,83,0,2,1.716,2.615,5.669,0,2
238,1,2015,2015-12-13 20:00:00,87,76,2,2,6.992,2.027,981,1,1
239,1,2015,2015-12-13 20:00:00,82,86,1,2,1.837,2.912,5.251,1,0
240,1,2015,2015-12-15 00:00:00,75,80,2,1,526,1.514,796,1,0
241,1,2015,2015-12-19 19:00:00,76,73,1,2,774,2.036,719,0,0
242,1,2015,2015-12-19 19:00:00,74,82,0,2,178,2.709,5.511,0,2
243,1,2015,2015-12-19 19:00:00,85,78,1,2,4.761,2.468,2.771,0,1
244,1,2015,2015-12-19 19:00:00,80,77,3,1,8.122,1.333,545,2,0
245,1,2015,2015-12-19 19:00:00,72,75,2,3,1.942,2.849,5.209,1,1
246,1,2015,2015-12-19 19:00:00,89,79,1,2,4.673,3.409,1.918,0,1
247,1,2015,2015-12-19 21:30:00,86,71,1,1,6.335,2.673,992,1,0
248,1,2015,2015-12-20 17:30:00,90,87,3,0,8.673,104,287,2,0
249,1,2015,2015-12-20 20:00:00,84,81,0,0,4.913,358,1.507,0,0
250,1,2015,2015-12-22 00:00:00,83,88,2,1,5.799,261,1.591,2,0
251,1,2015,2015-12-26 16:45:00,85,89,2,0,3.096,311,3.794,2,0
252,1,2015,2015-12-26 19:00:00,84,76,1,0,6.207,2.896,897,1,0
253,1,2015,2015-12-26 19:00:00,82,79,3,0,8.655,1.065,28,2,0
254,1,2015,2015-12-26 19:00:00,71,81,1,1,5.853,2.727,142,0,1
255,1,2015,2015-12-26 19:00:00,73,78,0,0,4.664,3.836,0.15,0,0
256,1,2015,2015-12-26 19:00:00,80,90,2,2,4.647,2.681,2.672,1,1
257,1,2015,2015-12-26 19:00:00,87,75,1,0,6.019,2.772,1.209,0,0
258,1,2015,2015-12-26 19:00:00,88,77,4,1,898,76,26,3,0
259,1,2015,2015-12-26 21:30:00,86,72,0,1,281,2.713,4.477,0,0
260,1,2015,2015-12-26 23:45:00,74,83,4,0,7.896,1.524,58,1,0
261,1,2015,2015-12-28 19:00:00,76,86,1,0,7.878,1.548,574,0,0
262,1,2015,2015-12-28 19:00:00,90,82,1,2,5.728,3.087,1.185,1,1
263,1,2015,2015-12-28 19:00:00,79,71,2,0,6.386,2.924,69,1,0
264,1,2015,2015-12-28 19:00:00,78,84,0,0,5.035,4.244,721,0,0
265,1,2015,2015-12-28 19:00:00,72,85,3,4,5.398,2.561,2.041,1,2
266,1,2015,2015-12-28 21:30:00,83,73,2,0,9.481,435,84,1,0
267,1,2015,2015-12-28 21:30:00,89,80,0,0,4.964,3.069,1.967,0,0
268,1,2015,2015-12-28 21:30:00,81,74,2,1,4.794,2.713,2.493,0,1
269,1,2015,2015-12-29 23:45:00,75,88,0,0,1.529,2.457,6.014,0,0
270,1,2015,2015-12-30 23:45:00,77,87,0,1,688,1.947,7.365,0,0
271,1,2015,2016-01-02 16:45:00,81,87,2,0,4.218,2.629,3.153,1,0
272,1,2015,2016-01-02 19:00:00,76,85,2,1,5.918,2.634,1.448,0,0
273,1,2015,2016-01-02 19:00:00,83,86,1,0,5.807,2.277,1.916,0,0
274,1,2015,2016-01-02 19:00:00,75,73,0,0,6.484,2.224,1.292,0,0
